 ,establishments-2014,establishments-2015,establishments-2016,establishments-2017,establishments-2018,establishments-2019,inspections-epa-2011,inspections-state-2011,violations-2011,actions-epa-2011,actions-state-2011,penalties-epa-2011,inspections-epa-2012,inspections-state-2012,violations-2012,actions-epa-2012,actions-state-2012,penalties-epa-2012,inspections-epa-2013,inspections-state-2013,violations-2013,actions-epa-2013,actions-state-2013,penalties-epa-2013,inspections-epa-2014,inspections-state-2014,violations-2014,actions-epa-2014,actions-state-2014,penalties-epa-2014,inspections-epa-2015,inspections-state-2015,violations-2015,actions-epa-2015,actions-state-2015,penalties-epa-2015,inspections-epa-2016,inspections-state-2016,violations-2016,actions-epa-2016,actions-state-2016,penalties-epa-2016,inspections-epa-2017,inspections-state-2017,violations-2017,actions-epa-2017,actions-state-2017,penalties-epa-2017,inspections-epa-2018,inspections-state-2018,violations-2018,actions-epa-2018,actions-state-2018,penalties-epa-2018,inspections-epa-2019,inspections-state-2019,violations-2019,actions-epa-2019,actions-state-2019,penalties-epa-2019
Iowa,705,733,744,742,742,694,,16,2,2,24,0,,18,11,9,6,37336,,22,13,11,16,99679,1,16,13,11,17,99679, ,6,4,4,13,400,,12,2,2,6,13220,,10,15,10,10,0,,5,50,50,5,5300,1,2,37,35,1,8000
Kansas,431,425,437,423,423,441,,13,2,2,6,6722,,16,14,13,10,22715,1,15,2,2,16,1320,2,13,2,2,7,1320,1,0,8,6,3,104383,,6,7,6,0,22932,10,11,23,19,0,23594,2,12,49,43,0,26262,3,13,40,36,1,106981
Kentucky,178,182,176,175,175,175,,19,,,20,,,4,1,1,1,440,2,2,,,2,,,17,,,27,,2,14,1,,0,1200,,16,1,1,0,,,28,2,2,0,0,3,12,2,2,0,,,1,,,,
Louisiana,157,145,143,146,146,164,2,30,6,6,0,6000,,20,1,1,0,1400,,29,,,0,,,28,,,0,,,38,2,,0,3600,,30,1,1,0,2550,,27,4,4,0,7800,,28,2,2,0,,,10,3,3,,0
Maine,17,20,22,15,15,17,3,7,,,0,,1,6,,,0,,3,6,,,0,,1,4,,,0,, ,4,0,,0,,1,3,1,1,0,1633,,2,1,1,0,42284,1,0,1,2,0,50600,,1,3,3,,0
Mariana Islands,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,2,0,,,,
Maryland,64,63,60,59,59,70,,30,3,3,2,7500,2,28,4,4,5,165980,3,30,,,0,,3,31,,,1,,3,28,3,,0,2000,4,28,8,7,0,15100,19,28,19,16,0,199550,6,29,6,6,0,,4,28,8,8,,23254
Massachusetts ,69,64,65,65,65,87,11,14,12,9,3,786385,17,15,10,10,0,18315,10,16,8,5,0,2885410,3,16,8,5,0,2885410,7,10,7, ,0,414900,6,14,13,12,0,157790,3,10,25,7,0,63745,2,9,5,5,0,1412,3,7,10,10,,7702
Michigan,271,269,256,258,258,286,1,23,9,6,8,5400,2,24,10,10,9,97500,4,12,8,7,5,542368,2,9,8,6,5,542368,2,9,11, ,5,22100,1,12,12,9,6,63762,,10,25,22,5,158942,,10,16,15,1,130698,4,10,13,12,5,400
Minnesota,446,451,456,459,459,471,,49,2,2,27,0,2,30,6,3,5,96928,5,21,12,11,21,34864,2,14,12,11,13,34864, ,13,6, ,13,288200,,16,5,4,16,14300,,11,43,36,10,84594,1,10,15,13,9,36701,,0,15,15,,4100
Mississippi,120,125,123,127,127,138,,55,,,2,,,55,,,2,,,49,1,1,0,4420,,42,1,1,0,4420,,57,0, ,3, ,2,55,4,4,3,,1,30,7,3,1,101600,1,35,15,14,1,,9,34,1,1,1,8700
Missouri,417,411,413,477,477,425,1,30,19,13,31,207030,1,20,22,17,18,815284,,29,20,13,20,60877,,20,19,12,23,60877,,12,12,9,10,118029,1,20,11,10,23,158125,2,20,30,22,20,16936,7,20,68,58,11,29861,7,5,54,51,5,298149
Montana,127,133,130,139,139,139,,0,,,0,,3,13,2,2,0,3960,4,17,2,2,0,2145,22,12,2,2,0,2145, ,0,1,1,0,0,5,10,1,1,0,500,,12,14,14,0,0,,8,1,1,0,3566,8,8,5,5,,0
Navajo Nation ,,0,,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,, ,,0, ,,,,,,,,0,,,0,,,,,,,,,,,,,
Nebraska,436,437,445,457,457,452,3,12,4,4,1,3000,9,10,2,2,1,102000,5,8,10,8,2,94643,5,8,10,8,0,94643,6,2,7,5,2,14224,,2,1,1,2,,4,8,9,8,0,21287,9,7,30,29,1,26324,9,8,23,23,8,5200
Nevada,31,32,32,35,35,53,,14,4,4,7,4690,,13,,,2,,,16,,,2,,,15,,,3,,5,21,0,2,1,880,3,11,8,5,2,14640,4,13,1,1,0,0,,11,7,6,2,1218605,,11,4,3,,0
