state,year,h2a_workers_cert,emp_farmworker,h2a_per_farmworker,h2a_per_farmworker_z
California,2014,6663.0,180040.0,0.03700844256831815,-0.6867950705196725
California,2015,9411.0,178130.0,0.052832201201369784,-0.6828731479798431
California,2016,11908.0,182570.0,0.06522429752971463,-0.6798017638016013
California,2017,15702.0,189930.0,0.08267256357605433,-0.6754772066925752
California,2018,19202.0,194850.0,0.09854760071850141,-0.6715425747613509
California,2019,23752.0,201440.0,0.11791104050833995,-0.6667433413603956
Colorado,2011,1263.0,1630.0,0.7748466257668711,-0.5039216920425231
Colorado,2012,1159.0,2020.0,0.5737623762376237,-0.5537604736443964
Colorado,2013,1341.5,2060.0,0.6512135922330097,-0.5345641703644017
Colorado,2014,1524.0,2100.0,0.7257142857142858,-0.5160991548284068
Colorado,2015,1717.0,2550.0,0.6733333333333333,-0.5290817869934025
Colorado,2016,2095.0,2290.0,0.9148471615720524,-0.4692225241839048
Colorado,2017,2688.0,3260.0,0.8245398773006135,-0.4916052072055697
Colorado,2018,2857.0,3840.0,0.7440104166666667,-0.5115644541900938
Colorado,2019,3440.0,3310.0,1.039274924471299,-0.43838307198979726
Connecticut,2011,290.0,310.0,0.9354838709677419,-0.46410771059228384
Connecticut,2012,721.0,500.0,1.442,-0.33856756116853093
Connecticut,2013,564.5,550.0,1.0263636363636364,-0.44158313798056037
Connecticut,2014,408.0,710.0,0.5746478873239437,-0.5535409994998999
Connecticut,2015,478.0,700.0,0.6828571428571428,-0.5267213084179487
Connecticut,2016,327.0,740.0,0.4418918918918919,-0.5864446062128412
Connecticut,2017,429.0,920.0,0.46630434782608693,-0.5803939728961192
Connecticut,2018,618.0,790.0,0.7822784810126582,-0.5020797048587501
Connecticut,2019,876.0,790.0,1.1088607594936708,-0.4211362053536337
Delaware,2011,38.0,50.0,0.76,-0.5076014319567735
Delaware,2012,32.0,40.0,0.8,-0.49768742193986776
Delaware,2013,32.0,40.0,0.8,-0.49768742193986776
Delaware,2014,32.0,50.0,0.64,-0.5373434620074906
Delaware,2015,231.0,70.0,3.3,0.12193820411673971
Delaware,2016,392.0,120.0,3.2666666666666666,0.11367652910265164
Delaware,2017,570.0,160.0,3.5625,0.18699889485268353
Delaware,2018,459.0,190.0,2.4157894736842107,-0.09721359625696559
Delaware,2019,823.0,140.0,5.878571428571429,0.7610377784208407
Florida,2011,5741.0,23480.0,0.24450596252129472,-0.6353667582372499
Florida,2012,6945.0,24110.0,0.28805474906677725,-0.6245731805863498
Florida,2013,10244.5,21340.0,0.4800609184629803,-0.5769844034188084
Florida,2014,13544.0,16430.0,0.8243457090687766,-0.4916533318504546
Florida,2015,17942.0,14650.0,1.2247098976109214,-0.3924229674600258
Florida,2016,22828.0,13350.0,1.7099625468164794,-0.2721529768361773
Florida,2017,25303.0,13250.0,1.9096603773584906,-0.22265781952748132
Florida,2018,30462.0,10670.0,2.854920337394564,0.011625098281957034
Florida,2019,33598.0,10070.0,3.3364448857994042,0.1309710781887467
Georgia,2011,6793.0,2370.0,2.8662447257383965,0.014431850768859132
Georgia,2012,8475.0,3560.0,2.38061797752809,-0.10593086038699913
Georgia,2013,9491.0,3600.0,2.636388888888889,-0.0425379759553975
Georgia,2014,10507.0,3420.0,3.0722222222222224,0.06548342485380446
Georgia,2015,14513.0,3040.0,4.7740131578947365,0.48727273442722097
Georgia,2016,17392.0,3390.0,5.130383480825959,0.5755992082089226
Georgia,2017,23421.0,3420.0,6.848245614035088,1.001371768116381
Georgia,2018,32364.0,3200.0,10.11375,1.8107278479340234
Georgia,2019,29486.0,2880.0,10.238194444444444,1.8415714346532857
Hawaii,2011,195.0,480.0,0.40625,-0.5952784580437834
Hawaii,2012,98.0,830.0,0.1180722891566265,-0.6667033758425376
Hawaii,2013,68.5,860.0,0.07965116279069767,-0.676226061633853
Hawaii,2014,39.0,900.0,0.043333333333333335,-0.6852274447596676
Hawaii,2015,40.0,530.0,0.07547169811320754,-0.6772619430008016
Hawaii,2016,51.0,430.0,0.1186046511627907,-0.6665714297859943
Hawaii,2017,73.0,300.0,0.24333333333333335,-0.635657394675139
Hawaii,2018,137.0,490.0,0.2795918367346939,-0.6266707155271615
Hawaii,2019,157.0,440.0,0.3568181818181818,-0.6075301465589936
Idaho,2011,1977.0,1440.0,1.3729166666666666,-0.35568988263522855
Idaho,2012,2139.0,1670.0,1.2808383233532934,-0.3785115230839502
Idaho,2013,2109.5,1940.0,1.0873711340206185,-0.42646241440861854
