state,year,time,time2,time3,violations,inspections,log_violations,log_inspections,SPEND_APP_z,SPEND_WORK_z,lii_2017_z,dol_demand_met_pct_z,pct_flc_z,h2a_per_farmworker_z
Oregon,2019,2,4,8,8.0,7.0,2.1972245773362196,2.0794415416798357,3.2420516573073157,-0.2156878158793042,-0.36641105468131785,-0.7100099495405784,-0.03500677980510021,-0.5890719430807991
Pennsylvania,2011,-6,36,-216,9.0,59.0,2.302585092994046,4.0943445622221,-0.7836402500187347,-0.5397622671517239,0.006910807480276581,0.5242934148550114,-0.5956288035787091,-0.6400119107196823
Pennsylvania,2012,-5,25,-125,16.0,51.0,2.833213344056216,3.9512437185814275,-0.7836402500187347,-0.5397622671517239,0.006910807480276581,0.5242934148550114,-0.5956288035787091,-0.6385815476987975
Pennsylvania,2013,-4,16,-64,6.0,52.0,1.9459101490553132,3.970291913552122,-0.7836402500187347,-0.5397622671517239,0.006910807480276581,0.5242934148550114,-0.5956288035787091,-0.6289502190387017
Pennsylvania,2014,-3,9,-27,6.0,69.0,1.9459101490553132,4.248495242049359,-0.7836402500187347,-0.5397622671517239,0.006910807480276581,0.5242934148550114,-0.5956288035787091,-0.6114732187248084
Pennsylvania,2015,-2,4,-8,26.0,66.0,3.295836866004329,4.204692619390966,-0.7836402500187347,-0.5397622671517239,0.006910807480276581,0.5242934148550114,-0.5956288035787091,-0.5967010678995256
Pennsylvania,2016,-1,1,-1,43.0,54.0,3.784189633918261,4.007333185232471,-0.7836402500187347,-0.5397622671517239,0.006910807480276581,0.5242934148550114,-0.5956288035787091,-0.5954756116520742
Pennsylvania,2017,0,0,0,78.0,56.0,4.3694478524670215,4.04305126783455,-0.7836402500187347,-0.5397622671517239,0.006910807480276581,0.5242934148550114,-0.5956288035787091,-0.5596993571053737
Pennsylvania,2018,1,1,1,52.0,73.0,3.970291913552122,4.30406509320417,-0.7836402500187347,-0.5397622671517239,0.006910807480276581,0.5242934148550114,-0.5956288035787091,-0.53846915637196
Pennsylvania,2019,2,4,8,38.0,51.0,3.6635616461296463,3.9512437185814275,-0.7836402500187347,-0.5397622671517239,0.006910807480276581,0.5242934148550114,-0.5956288035787091,-0.5275565546831092
Rhode Island,2011,-6,36,-216,1.0,5.0,0.6931471805599453,1.791759469228055,,-0.544197502391616,0.9596692305059465,1.5741101553907677,-1.1091756955850682,-0.6711825972357178
Rhode Island,2012,-5,25,-125,1.0,4.0,0.6931471805599453,1.6094379124341003,,-0.544197502391616,0.9596692305059465,1.5741101553907677,-1.1091756955850682,-0.6711825972357178
Rhode Island,2013,-4,16,-64,1.0,2.0,0.6931471805599453,1.0986122886681098,,-0.544197502391616,0.9596692305059465,1.5741101553907677,-1.1091756955850682,-0.6711825972357178
Rhode Island,2014,-3,9,-27,1.0,3.0,0.6931471805599453,1.3862943611198906,,-0.544197502391616,0.9596692305059465,1.5741101553907677,-1.1091756955850682,-0.6711825972357178
Rhode Island,2015,-2,4,-8,0.0,2.0,0.0,1.0986122886681098,,-0.544197502391616,0.9596692305059465,1.5741101553907677,-1.1091756955850682,-0.6587900847145857
Rhode Island,2016,-1,1,-1,1.0,3.0,0.6931471805599453,1.3862943611198906,,-0.544197502391616,0.9596692305059465,1.5741101553907677,-1.1091756955850682,-0.6711825972357178
Rhode Island,2017,0,0,0,,2.0,,1.0986122886681098,,-0.544197502391616,0.9596692305059465,1.5741101553907677,-1.1091756955850682,-0.6587900847145857
Rhode Island,2018,1,1,1,,4.0,,1.6094379124341003,,-0.544197502391616,0.9596692305059465,1.5741101553907677,-1.1091756955850682,-0.6649863409751517
Rhode Island,2019,2,4,8,4.0,3.0,1.6094379124341003,1.3862943611198906,,-0.544197502391616,0.9596692305059465,1.5741101553907677,-1.1091756955850682,-0.6649863409751517
South Carolina,2011,-6,36,-216,1.0,27.0,0.6931471805599453,3.332204510175204,0.720889354155451,0.0010416550679171,-0.0803512894961854,-0.7056174108772516,-0.4073282765097107,-0.13671577517048
South Carolina,2012,-5,25,-125,1.0,23.0,0.6931471805599453,3.1780538303479458,0.720889354155451,0.0010416550679171,-0.0803512894961854,-0.7056174108772516,-0.4073282765097107,0.0215711225099466
South Carolina,2013,-4,16,-64,2.0,31.0,1.0986122886681098,3.4657359027997265,0.720889354155451,0.0010416550679171,-0.0803512894961854,-0.7056174108772516,-0.4073282765097107,0.0988854657709778
South Carolina,2014,-3,9,-27,2.0,27.0,1.0986122886681098,3.332204510175204,0.720889354155451,0.0010416550679171,-0.0803512894961854,-0.7056174108772516,-0.4073282765097107,0.2121198614994364
South Carolina,2015,-2,4,-8,3.0,84.0,1.3862943611198906,4.442651256490317,0.720889354155451,0.0010416550679171,-0.0803512894961854,-0.7056174108772516,-0.4073282765097107,0.261853668065006
South Carolina,2016,-1,1,-1,20.0,63.0,3.044522437723423,4.1588830833596715,0.720889354155451,0.0010416550679171,-0.0803512894961854,-0.7056174108772516,-0.4073282765097107,0.342338373040961
South Carolina,2017,0,0,0,19.0,64.0,2.995732273553991,4.174387269895637,0.720889354155451,0.0010416550679171,-0.0803512894961854,-0.7056174108772516,-0.4073282765097107,0.3062768278685805
South Carolina,2018,1,1,1,13.0,27.0,2.6390573296152584,3.332204510175204,0.720889354155451,0.0010416550679171,-0.0803512894961854,-0.7056174108772516,-0.4073282765097107,0.4724139488550083
South Carolina,2019,2,4,8,9.0,30.0,2.302585092994046,3.4339872044851463,0.720889354155451,0.0010416550679171,-0.0803512894961854,-0.7056174108772516,-0.4073282765097107,0.3807646799152426
South Dakota,2011,-6,36,-216,5.0,11.0,1.791759469228055,2.4849066497880004,-0.2091260706381609,4.03725897209368,-0.845034978419255,-0.5167382483540741,0.3116373722991923,0.2334708168069291
South Dakota,2012,-5,25,-125,1.0,16.0,0.6931471805599453,2.833213344056216,-0.2091260706381609,4.03725897209368,-0.845034978419255,-0.5167382483540741,0.3116373722991923,0.7212851733205854
South Dakota,2013,-4,16,-64,,16.0,,2.833213344056216,-0.2091260706381609,4.03725897209368,-0.845034978419255,-0.5167382483540741,0.3116373722991923,0.3656576170323387
South Dakota,2014,-3,9,-27,,29.0,,3.4011973816621555,-0.2091260706381609,4.03725897209368,-0.845034978419255,-0.5167382483540741,0.3116373722991923,0.5547228721624317
South Dakota,2015,-2,4,-8,0.0,22.0,0.0,3.1354942159291497,-0.2091260706381609,4.03725897209368,-0.845034978419255,-0.5167382483540741,0.3116373722991923,0.996173632880244
South Dakota,2016,-1,1,-1,,14.0,,2.70805020110221,-0.2091260706381609,4.03725897209368,-0.845034978419255,-0.5167382483540741,0.3116373722991923,1.5787468982676078
South Dakota,2017,0,0,0,2.0,15.0,1.0986122886681098,2.772588722239781,-0.2091260706381609,4.03725897209368,-0.845034978419255,-0.5167382483540741,0.3116373722991923,2.8943202909871606
South Dakota,2018,1,1,1,,10.0,,2.3978952727983707,-0.2091260706381609,4.03725897209368,-0.845034978419255,-0.5167382483540741,0.3116373722991923,3.440033431649873
South Dakota,2019,2,4,8,15.0,22.0,2.772588722239781,3.1354942159291497,-0.2091260706381609,4.03725897209368,-0.845034978419255,-0.5167382483540741,0.3116373722991923,3.3142494295603813
Tennessee,2011,-6,36,-216,16.0,38.0,2.833213344056216,3.6635616461296463,-0.7942603674449609,-0.544197502391616,-0.14973711114473684,0.9327995105446582,-0.47152163801050556,-0.1886333341679598
Tennessee,2012,-5,25,-125,9.0,25.0,2.302585092994046,3.258096538021482,-0.7942603674449609,-0.544197502391616,-0.14973711114473684,0.9327995105446582,-0.47152163801050556,-0.0094522900832155
Tennessee,2013,-4,16,-64,5.0,34.0,1.791759469228055,3.5553480614894135,-0.7942603674449609,-0.544197502391616,-0.14973711114473684,0.9327995105446582,-0.47152163801050556,0.1899249047535064
Tennessee,2014,-3,9,-27,5.0,40.0,1.791759469228055,3.713572066704308,-0.7942603674449609,-0.544197502391616,-0.14973711114473684,0.9327995105446582,-0.47152163801050556,0.945607989823616
