state,year,spending_nominal,cpi_deflator,spending_2017,spending_2017m
Texas,2017,1076459,1.0,1076459.0,1.076459
Texas,2018,1076133,0.9761575742611716,1050475.3788623973,1.0504753788623973
Texas,2019,1034478,0.9587846215828238,991841.5977657564,0.9918415977657564
Utah,2011,0,1.089717656786951,0.0,0.0
Utah,2012,0,1.0676237183898534,0.0,0.0
Vermont,2013,147231,1.0522113523096537,154918.1296119026,0.1549181296119026
Vermont,2014,381000,1.0354149770208165,394493.1062449311,0.3944931062449311
Vermont,2015,364567,1.0341874211554445,377030.60556837695,0.377030605568377
Vermont,2016,336250,1.0213035453132617,343413.31711158424,0.34341331711158424
Vermont,2017,317000,1.0,317000.0,0.317
Vermont,2018,302500,0.9761575742611716,295287.6662140044,0.2952876662140044
Vermont,2019,291070,0.9587846215828238,279073.43980411254,0.27907343980411253
Virginia,2011,175000,1.089717656786951,190700.58993771643,0.19070058993771644
Virginia,2012,77000,1.0676237183898534,82207.0263160187,0.0822070263160187
Washington,2011,673754,1.089717656786951,734201.6301308355,0.7342016301308355
Washington,2012,988626,1.0676237183898534,1055480.5662168872,1.0554805662168871
Washington,2013,814680,1.0522113523096537,857215.5444996287,0.8572155444996287
Washington,2014,805180,1.0354149770208165,833695.431197621,0.833695431197621
Washington,2015,876968,1.0341874211554445,906949.2743558479,0.9069492743558478
Washington,2016,1199243,1.0213035453132617,1224791.127592112,1.224791127592112
Washington,2017,1341170,1.0,1341170.0,1.34117
Washington,2018,1180770,0.9761575742611716,1152617.5789603635,1.1526175789603634
Washington,2019,1214122,0.9587846215828238,1164081.5023253812,1.1640815023253812
Wisconsin,2011,136842,1.089717656786951,149119.14359003995,0.14911914359003994
Wisconsin,2012,49205,1.0676237183898534,52532.425063372735,0.05253242506337274
Wyoming,2018,2800,0.9761575742611716,2733.2412079312803,0.0027332412079312802
