state,year,time,time2,time3,violations,inspections,log_violations,log_inspections,covid,SPEND_APP_z,SPEND_WORK_z,lii_2017_z,dol_demand_met_pct_z,pct_flc_z,h2a_per_farmworker_z
Illinois,2012,-5,25,-125,16.0,25.0,2.833213344056216,3.258096538021482,0.0,-0.7771178277358395,-0.5911454700744764,-0.9704143603230264,-0.6863279749647414,1.7367299976168387,-0.5890832909706653
Illinois,2013,-4,16,-64,33.0,24.0,3.5263605246161616,3.2188758248682006,0.0,-0.7771178277358395,-0.5911454700744764,-0.9704143603230264,-0.6863279749647414,1.7367299976168387,-0.5958419019498721
Illinois,2014,-3,9,-27,5.0,33.0,1.791759469228055,3.5263605246161616,0.0,-0.7771178277358395,-0.5911454700744764,-0.9704143603230264,-0.6863279749647414,1.7367299976168387,-0.6119409811962594
Illinois,2015,-2,4,-8,4.0,28.0,1.6094379124341003,3.367295829986474,0.0,-0.7771178277358395,-0.5911454700744764,-0.9704143603230264,-0.6863279749647414,1.7367299976168387,-0.6257095300972547
Illinois,2016,-1,1,-1,13.0,20.0,2.6390573296152584,3.044522437723423,0.0,-0.7771178277358395,-0.5911454700744764,-0.9704143603230264,-0.6863279749647414,1.7367299976168387,-0.5665064201327308
Illinois,2017,0,0,0,14.0,26.0,2.70805020110221,3.295836866004329,0.0,-0.7771178277358395,-0.5911454700744764,-0.9704143603230264,-0.6863279749647414,1.7367299976168387,-0.4286189047568592
Illinois,2018,1,1,1,8.0,27.0,2.1972245773362196,3.332204510175204,0.0,-0.7771178277358395,-0.5911454700744764,-0.9704143603230264,-0.6863279749647414,1.7367299976168387,-0.4230363486612051
Illinois,2019,2,4,8,0.0,36.0,0.0,3.6109179126442243,0.0,-0.7771178277358395,-0.5911454700744764,-0.9704143603230264,-0.6863279749647414,1.7367299976168387,-0.4555050316766667
Illinois,2020,3,9,27,0.0,26.0,0.0,3.295836866004329,1.0,-0.7771178277358395,-0.5911454700744764,-0.9704143603230264,-0.6863279749647414,1.7367299976168387,-0.4282581918151026
Illinois,2021,4,16,64,3.0,37.0,1.3862943611198906,3.6375861597263857,1.0,-0.7771178277358395,-0.5911454700744764,-0.9704143603230264,-0.6863279749647414,1.7367299976168387,-0.4766521910530059
Indiana,2011,-6,36,-216,,8.0,,2.1972245773362196,0.0,-0.0179815211233347,0.2795533909098766,-0.5635043585654747,-1.2088748343026978,2.2032017578559486,-0.6592331066668546
Indiana,2012,-5,25,-125,1.0,7.0,0.6931471805599453,2.0794415416798357,0.0,-0.0179815211233347,0.2795533909098766,-0.5635043585654747,-1.2088748343026978,2.2032017578559486,-0.5778635094991085
Indiana,2013,-4,16,-64,1.0,14.0,0.6931471805599453,2.70805020110221,0.0,-0.0179815211233347,0.2795533909098766,-0.5635043585654747,-1.2088748343026978,2.2032017578559486,-0.5678746197127478
Indiana,2014,-3,9,-27,1.0,14.0,0.6931471805599453,2.70805020110221,0.0,-0.0179815211233347,0.2795533909098766,-0.5635043585654747,-1.2088748343026978,2.2032017578559486,-0.5423742534978946
Indiana,2015,-2,4,-8,17.0,24.0,2.8903717578961645,3.2188758248682006,0.0,-0.0179815211233347,0.2795533909098766,-0.5635043585654747,-1.2088748343026978,2.2032017578559486,-0.5002723235832606
Indiana,2016,-1,1,-1,0.0,13.0,0.0,2.6390573296152584,0.0,-0.0179815211233347,0.2795533909098766,-0.5635043585654747,-1.2088748343026978,2.2032017578559486,-0.355688215916314
Indiana,2017,0,0,0,1.0,7.0,0.6931471805599453,2.0794415416798357,0.0,-0.0179815211233347,0.2795533909098766,-0.5635043585654747,-1.2088748343026978,2.2032017578559486,-0.2757500513416884
Indiana,2018,1,1,1,4.0,6.0,1.6094379124341003,1.9459101490553132,0.0,-0.0179815211233347,0.2795533909098766,-0.5635043585654747,-1.2088748343026978,2.2032017578559486,-0.0748662552615622
Indiana,2019,2,4,8,5.0,22.0,1.791759469228055,3.1354942159291497,0.0,-0.0179815211233347,0.2795533909098766,-0.5635043585654747,-1.2088748343026978,2.2032017578559486,0.0090450631080548
Indiana,2020,3,9,27,4.0,16.0,1.6094379124341003,2.833213344056216,1.0,-0.0179815211233347,0.2795533909098766,-0.5635043585654747,-1.2088748343026978,2.2032017578559486,0.0613096856458508
Indiana,2021,4,16,64,3.0,16.0,1.3862943611198906,2.833213344056216,1.0,-0.0179815211233347,0.2795533909098766,-0.5635043585654747,-1.2088748343026978,2.2032017578559486,0.1999209668402361
Iowa,2011,-6,36,-216,11.0,22.0,2.4849066497880004,3.1354942159291497,0.0,-0.7600194929447651,-0.557607076827924,-0.6674178645777038,-0.09286404185948634,2.241717774756425,-0.2936249456143817
Iowa,2012,-5,25,-125,12.0,21.0,2.5649493574615367,3.091042453358316,0.0,-0.7600194929447651,-0.557607076827924,-0.6674178645777038,-0.09286404185948634,2.241717774756425,-0.4488966720286464
Iowa,2013,-4,16,-64,46.0,22.0,3.8501476017100584,3.1354942159291497,0.0,-0.7600194929447651,-0.557607076827924,-0.6674178645777038,-0.09286404185948634,2.241717774756425,-0.4350146611379542
Iowa,2014,-3,9,-27,3.0,10.0,1.3862943611198906,2.3978952727983707,0.0,-0.7600194929447651,-0.557607076827924,-0.6674178645777038,-0.09286404185948634,2.241717774756425,-0.4276524580092505
Iowa,2015,-2,4,-8,13.0,17.0,2.6390573296152584,2.8903717578961645,0.0,-0.7600194929447651,-0.557607076827924,-0.6674178645777038,-0.09286404185948634,2.241717774756425,-0.1576392968880948
Iowa,2016,-1,1,-1,8.0,26.0,2.1972245773362196,3.295836866004329,0.0,-0.7600194929447651,-0.557607076827924,-0.6674178645777038,-0.09286404185948634,2.241717774756425,0.0049056682889049
Iowa,2017,0,0,0,14.0,19.0,2.70805020110221,2.995732273553991,0.0,-0.7600194929447651,-0.557607076827924,-0.6674178645777038,-0.09286404185948634,2.241717774756425,0.0650239625329561
Iowa,2018,1,1,1,4.0,3.0,1.6094379124341003,1.3862943611198906,0.0,-0.7600194929447651,-0.557607076827924,-0.6674178645777038,-0.09286404185948634,2.241717774756425,-0.0417338510808071
Iowa,2019,2,4,8,0.0,2.0,0.0,1.0986122886681098,0.0,-0.7600194929447651,-0.557607076827924,-0.6674178645777038,-0.09286404185948634,2.241717774756425,-0.089541241315412
Iowa,2020,3,9,27,19.0,7.0,2.995732273553991,2.0794415416798357,1.0,-0.7600194929447651,-0.557607076827924,-0.6674178645777038,-0.09286404185948634,2.241717774756425,-0.0582925853675962
Iowa,2021,4,16,64,0.0,7.0,0.0,2.0794415416798357,1.0,-0.7600194929447651,-0.557607076827924,-0.6674178645777038,-0.09286404185948634,2.241717774756425,0.6930870303465818
Kansas,2011,-6,36,-216,17.0,21.0,2.8903717578961645,3.091042453358316,0.0,-0.7536706729201136,-0.5511212128875864,-0.8926015992510837,0.10868974674230135,0.8123455920053922,0.3429587246080135
Kansas,2012,-5,25,-125,6.0,22.0,1.9459101490553132,3.1354942159291497,0.0,-0.7536706729201136,-0.5511212128875864,-0.8926015992510837,0.10868974674230135,0.8123455920053922,-0.278180960527674
Kansas,2013,-4,16,-64,12.0,20.0,2.5649493574615367,3.044522437723423,0.0,-0.7536706729201136,-0.5511212128875864,-0.8926015992510837,0.10868974674230135,0.8123455920053922,-0.3762599803841653
Kansas,2014,-3,9,-27,15.0,20.0,2.772588722239781,3.044522437723423,0.0,-0.7536706729201136,-0.5511212128875864,-0.8926015992510837,0.10868974674230135,0.8123455920053922,-0.4835126822040007
Kansas,2015,-2,4,-8,10.0,20.0,2.3978952727983707,3.044522437723423,0.0,-0.7536706729201136,-0.5511212128875864,-0.8926015992510837,0.10868974674230135,0.8123455920053922,-0.4224101175363809
Kansas,2016,-1,1,-1,6.0,18.0,1.9459101490553132,2.9444389791664403,0.0,-0.7536706729201136,-0.5511212128875864,-0.8926015992510837,0.10868974674230135,0.8123455920053922,-0.4253007855865305
Kansas,2017,0,0,0,0.0,6.0,0.0,1.9459101490553132,0.0,-0.7536706729201136,-0.5511212128875864,-0.8926015992510837,0.10868974674230135,0.8123455920053922,-0.4029598975706904
Kansas,2018,1,1,1,0.0,0.0,0.0,0.0,0.0,-0.7536706729201136,-0.5511212128875864,-0.8926015992510837,0.10868974674230135,0.8123455920053922,-0.3323713289835465
Kansas,2019,2,4,8,4.0,9.0,1.6094379124341003,2.302585092994046,0.0,-0.7536706729201136,-0.5511212128875864,-0.8926015992510837,0.10868974674230135,0.8123455920053922,-0.0883579626145861
Kansas,2020,3,9,27,0.0,5.0,0.0,1.791759469228055,1.0,-0.7536706729201136,-0.5511212128875864,-0.8926015992510837,0.10868974674230135,0.8123455920053922,-0.0165199324350361
Kansas,2021,4,16,64,0.0,2.0,0.0,1.0986122886681098,1.0,-0.7536706729201136,-0.5511212128875864,-0.8926015992510837,0.10868974674230135,0.8123455920053922,-0.3005356356935069
Kentucky,2011,-6,36,-216,13.0,58.0,2.6390573296152584,4.07753744390572,0.0,2.8128622039581073,1.050842460318376,-0.07487562483645753,1.0119493178836314,-0.9593911854165468,0.965022815700375
Kentucky,2012,-5,25,-125,4.0,29.0,1.6094379124341003,3.4011973816621555,0.0,2.8128622039581073,1.050842460318376,-0.07487562483645753,1.0119493178836314,-0.9593911854165468,0.625381634593256
Kentucky,2013,-4,16,-64,7.0,55.0,2.0794415416798357,4.02535169073515,0.0,2.8128622039581073,1.050842460318376,-0.07487562483645753,1.0119493178836314,-0.9593911854165468,0.7409575074087216
Kentucky,2014,-3,9,-27,4.0,58.0,1.6094379124341003,4.07753744390572,0.0,2.8128622039581073,1.050842460318376,-0.07487562483645753,1.0119493178836314,-0.9593911854165468,0.8398523264157696
Kentucky,2015,-2,4,-8,3.0,52.0,1.3862943611198906,3.970291913552122,0.0,2.8128622039581073,1.050842460318376,-0.07487562483645753,1.0119493178836314,-0.9593911854165468,0.8819652574602717
Kentucky,2016,-1,1,-1,9.0,47.0,2.302585092994046,3.871201010907891,0.0,2.8128622039581073,1.050842460318376,-0.07487562483645753,1.0119493178836314,-0.9593911854165468,1.3232213485590236
Kentucky,2017,0,0,0,0.0,44.0,0.0,3.8066624897703196,0.0,2.8128622039581073,1.050842460318376,-0.07487562483645753,1.0119493178836314,-0.9593911854165468,1.6345339251639794
Kentucky,2018,1,1,1,3.0,32.0,1.3862943611198906,3.4965075614664802,0.0,2.8128622039581073,1.050842460318376,-0.07487562483645753,1.0119493178836314,-0.9593911854165468,1.166581512848545
Kentucky,2019,2,4,8,0.0,12.0,0.0,2.5649493574615367,0.0,2.8128622039581073,1.050842460318376,-0.07487562483645753,1.0119493178836314,-0.9593911854165468,1.511839359880408
Kentucky,2020,3,9,27,0.0,22.0,0.0,3.1354942159291497,1.0,2.8128622039581073,1.050842460318376,-0.07487562483645753,1.0119493178836314,-0.9593911854165468,2.193673360336702
Kentucky,2021,4,16,64,0.0,24.0,0.0,3.2188758248682006,1.0,2.8128622039581073,1.050842460318376,-0.07487562483645753,1.0119493178836314,-0.9593911854165468,3.892293429526684
Louisiana,2011,-6,36,-216,,40.0,,3.713572066704308,0.0,0.5084109570599908,0.3259630238379095,-0.38761790380299277,0.6275041285135646,-0.1719526176734628,2.891204760574098
Louisiana,2012,-5,25,-125,0.0,39.0,0.0,3.6888794541139363,0.0,0.5084109570599908,0.3259630238379095,-0.38761790380299277,0.6275041285135646,-0.1719526176734628,2.006969864712164
Louisiana,2013,-4,16,-64,0.0,34.0,0.0,3.5553480614894135,0.0,0.5084109570599908,0.3259630238379095,-0.38761790380299277,0.6275041285135646,-0.1719526176734628,2.2072538010869653
Louisiana,2014,-3,9,-27,2.0,39.0,1.0986122886681098,3.6888794541139363,0.0,0.5084109570599908,0.3259630238379095,-0.38761790380299277,0.6275041285135646,-0.1719526176734628,2.152218723115445
Louisiana,2015,-2,4,-8,8.0,37.0,2.1972245773362196,3.6375861597263857,0.0,0.5084109570599908,0.3259630238379095,-0.38761790380299277,0.6275041285135646,-0.1719526176734628,2.457166129625244
Louisiana,2016,-1,1,-1,2.0,36.0,1.0986122886681098,3.6109179126442243,0.0,0.5084109570599908,0.3259630238379095,-0.38761790380299277,0.6275041285135646,-0.1719526176734628,2.086592547738992
Louisiana,2017,0,0,0,0.0,36.0,0.0,3.6109179126442243,0.0,0.5084109570599908,0.3259630238379095,-0.38761790380299277,0.6275041285135646,-0.1719526176734628,1.0115656425257826
Louisiana,2018,1,1,1,4.0,38.0,1.6094379124341003,3.6635616461296463,0.0,0.5084109570599908,0.3259630238379095,-0.38761790380299277,0.6275041285135646,-0.1719526176734628,0.7783101023418153
Louisiana,2019,2,4,8,4.0,42.0,1.6094379124341003,3.7612001156935624,0.0,0.5084109570599908,0.3259630238379095,-0.38761790380299277,0.6275041285135646,-0.1719526176734628,1.2172268067915877
Louisiana,2020,3,9,27,10.0,33.0,2.3978952727983707,3.5263605246161616,1.0,0.5084109570599908,0.3259630238379095,-0.38761790380299277,0.6275041285135646,-0.1719526176734628,1.475720402897039
Louisiana,2021,4,16,64,4.0,36.0,1.6094379124341003,3.6109179126442243,1.0,0.5084109570599908,0.3259630238379095,-0.38761790380299277,0.6275041285135646,-0.1719526176734628,4.68871830577798
Maine,2011,-6,36,-216,5.0,58.0,1.791759469228055,4.07753744390572,0.0,1.0374915954202226,0.7180097915938367,0.07267336362272252,0.47074007071217583,-0.5656719015450048,-0.2736834132187811
Maine,2012,-5,25,-125,26.0,108.0,3.295836866004329,4.6913478822291435,0.0,1.0374915954202226,0.7180097915938367,0.07267336362272252,0.47074007071217583,-0.5656719015450048,-0.2764598058485455
Maine,2013,-4,16,-64,12.0,87.0,2.5649493574615367,4.477336814478207,0.0,1.0374915954202226,0.7180097915938367,0.07267336362272252,0.47074007071217583,-0.5656719015450048,-0.2272909505286869
Maine,2014,-3,9,-27,9.0,70.0,2.302585092994046,4.2626798770413155,0.0,1.0374915954202226,0.7180097915938367,0.07267336362272252,0.47074007071217583,-0.5656719015450048,-0.2229916329986446
Maine,2015,-2,4,-8,12.0,72.0,2.5649493574615367,4.290459441148391,0.0,1.0374915954202226,0.7180097915938367,0.07267336362272252,0.47074007071217583,-0.5656719015450048,-0.1690333915606756
Maine,2016,-1,1,-1,13.0,86.0,2.6390573296152584,4.465908118654584,0.0,1.0374915954202226,0.7180097915938367,0.07267336362272252,0.47074007071217583,-0.5656719015450048,0.0777076930731434
Maine,2017,0,0,0,13.0,60.0,2.6390573296152584,4.110873864173311,0.0,1.0374915954202226,0.7180097915938367,0.07267336362272252,0.47074007071217583,-0.5656719015450048,-0.1023859412408542
